43,I2C,SCL,0.00,B
43,Interrupt,IRQ,7,
43,SCI,I2C,SCL,3
43,SCI,SPI,MISO,3
43,SCI,UART,RX,3
44,ADC,ADTRG,0,
44,GPIO,Port4,7,Read
44,GPIO,Port4,7,Write
44,I2C,SDA,0.00,B
44,SCI,SPI,SS,4
44,SCI,UART,CTS,4
44,SCI,UART,RTS,4
44,SPI,SS,3,A
45,Power,USB,FS,VSS
48,Power,USB,FS,VCC
49,GPIO,Port2,7,Read
49,GPIO,Port2,7,Write
49,QSPI,SS,,
49,SPI,SS,2,A
50,GPIO,Port2,6,Read
50,GPIO,Port2,6,Write
50,GPT,GTIU,,
50,I2C,SDA,1.00,A
50,Interrupt,IRQ,0,DS
50,SCI,I2C,SCL,4
50,SCI,SPI,MISO,4
50,SCI,UART,RX,4
50,SPI,SS,1,A
51,Clock,CLKOUT,,
51,GPIO,Port2,5,Read
51,GPIO,Port2,5,Write
51,GPT,GTIOC4,A,
51,GPT,GTIV,,
51,I2C,SCL,1.00,A
51,Interrupt,IRQ,1,DS
51,SCI,I2C,SDA,4
51,SCI,SPI,MOSI,4
51,SCI,SPI,SS,9
51,SCI,UART,CTS,9
51,SCI,UART,RTS,9
51,SCI,UART,TX,4
51,SPI,SS,0,A
52,CAC,Ref,,
52,GPIO,Port2,4,Read
52,GPIO,Port2,4,Write
52,GPT,GTIOC4,B,
52,GPT,GTIW,,
52,I2C,SCL,0.00,B
52,SCI,SPI,SCK,4
52,SCI,SPI,SCK,9
52,SPI,CLK,B,A
53,GPIO,Port2,3,Read
53,GPIO,Port2,3,Write
53,GPT,GTIOC5,A,
53,Interrupt,IRQ,2,DS
53,SCI,I2C,SDA,9
53,SCI,SPI,MOSI,9
53,SCI,SPI,SS,2
53,SCI,UART,CTS,2
53,SCI,UART,RTS,2
53,SCI,UART,TX,9
53,SPI,MOSI,B,A
54,GPIO,Port2,2,Read
54,GPIO,Port2,2,Write
54,GPT,GTIOC5,B,
54,Interrupt,IRQ,3,DS
54,SCI,I2C,SCL,9
54,SCI,SPI,MISO,9
54,SCI,SPI,SCK,2
54,SCI,UART,RX,9
54,SPI,MISO,B,A
55,GPIO,Port3,13,Read
55,GPIO,Port3,13,Write
56,ADC,ADTRG,0,
56,GPIO,Port3,14,Read
56,GPIO,Port3,14,Write
57,GPIO,Port3,15,Read
57,GPIO,Port3,15,Write
57,SCI,UART,RX,4
58,GPIO,Port9,0,Read
58,GPIO,Port9,0,Write
